GAME_DATE_EST,TEAM_NICKNAME,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,Away_TEAM_NICKNAME,Away_Team_Score,Away_PTS_QTR1,Away_PTS_QTR2,Away_PTS_QTR3,Away_PTS_QTR4,Away_PTS_OT1,Away_PTS_OT2,Away_PTS_OT3,Away_PTS_OT4,Away_PTS_OT5,Away_PTS_OT6,Away_PTS_OT7,Away_PTS_OT8,Away_PTS_OT9,Away_PTS_OT10,Home_Team_Score
2023-12-18T00:00:00,Clippers,37,40,37,37,0,0,0,0,0,0,0,0,0,0,Pacers,127.0,38,28,28,33,0,0,0,0,0,0,0,0,0,0,151.0
2023-12-18T00:00:00,Heat,33,33,17,25,0,0,0,0,0,0,0,0,0,0,Timberwolves,112.0,22,32,23,35,0,0,0,0,0,0,0,0,0,0,108.0
2023-12-18T00:00:00,Nets,28,31,23,26,0,0,0,0,0,0,0,0,0,0,Jazz,125.0,28,26,34,37,0,0,0,0,0,0,0,0,0,0,108.0
2023-12-18T00:00:00,Hawks,38,23,35,34,0,0,0,0,0,0,0,0,0,0,Pistons,124.0,25,27,32,40,0,0,0,0,0,0,0,0,0,0,130.0
2023-12-18T00:00:00,Raptors,19,29,31,35,0,0,0,0,0,0,0,0,0,0,Hornets,99.0,27,25,29,18,0,0,0,0,0,0,0,0,0,0,114.0
2023-12-18T00:00:00,76ers,24,20,25,35,0,0,0,0,0,0,0,0,0,0,Bulls,108.0,25,30,26,27,0,0,0,0,0,0,0,0,0,0,104.0
2023-12-18T00:00:00,Kings,27,39,15,0,0,0,0,0,0,0,0,0,0,0,Wizards,61.0,31,25,5,0,0,0,0,0,0,0,0,0,0,0,81.0
2023-12-18T00:00:00,Mavericks,20,39,21,24,0,0,0,0,0,0,0,0,0,0,Nuggets,130.0,28,40,30,32,0,0,0,0,0,0,0,0,0,0,104.0
2023-12-18T00:00:00,Rockets,34,25,39,24,8,0,0,0,0,0,0,0,0,0,Cavaliers,135.0,33,24,42,23,13,0,0,0,0,0,0,0,0,0,130.0
2023-12-18T00:00:00,Thunder,34,34,26,22,0,0,0,0,0,0,0,0,0,0,Grizzlies,97.0,26,27,13,31,0,0,0,0,0,0,0,0,0,0,116.0
2023-12-17T00:00:00,Bucks,33,38,29,28,0,0,0,0,0,0,0,0,0,0,Rockets,119.0,28,32,31,28,0,0,0,0,0,0,0,0,0,0,128.0
2023-12-17T00:00:00,Warriors,27,38,24,29,0,0,0,0,0,0,0,0,0,0,Trail Blazers,114.0,23,26,35,30,0,0,0,0,0,0,0,0,0,0,118.0
2023-12-17T00:00:00,Suns,21,25,35,31,0,0,0,0,0,0,0,0,0,0,Wizards,108.0,29,29,31,19,0,0,0,0,0,0,0,0,0,0,112.0
2023-12-17T00:00:00,Magic,31,19,24,23,0,0,0,0,0,0,0,0,0,0,Celtics,114.0,27,34,22,31,0,0,0,0,0,0,0,0,0,0,97.0
2023-12-17T00:00:00,Pelicans,33,28,44,41,0,0,0,0,0,0,0,0,0,0,Spurs,110.0,20,31,27,32,0,0,0,0,0,0,0,0,0,0,146.0
2023-12-16T00:00:00,Timberwolves,23,34,38,32,0,0,0,0,0,0,0,0,0,0,Pacers,109.0,20,35,23,31,0,0,0,0,0,0,0,0,0,0,127.0
2023-12-16T00:00:00,Bucks,43,38,33,32,0,0,0,0,0,0,0,0,0,0,Pistons,114.0,20,36,27,31,0,0,0,0,0,0,0,0,0,0,146.0
2023-12-16T00:00:00,Kings,35,27,44,19,0,0,0,0,0,0,0,0,0,0,Jazz,104.0,23,27,26,28,0,0,0,0,0,0,0,0,0,0,125.0
2023-12-16T00:00:00,76ers,33,40,27,35,0,0,0,0,0,0,0,0,0,0,Hornets,82.0,17,27,15,23,0,0,0,0,0,0,0,0,0,0,135.0
2023-12-16T00:00:00,Trail Blazers,39,24,36,21,0,0,0,0,0,0,0,0,0,0,Mavericks,131.0,36,38,36,21,0,0,0,0,0,0,0,0,0,0,120.0
2023-12-16T00:00:00,Nuggets,31,25,31,30,0,0,0,0,0,0,0,0,0,0,Thunder,118.0,27,27,31,33,0,0,0,0,0,0,0,0,0,0,117.0
2023-12-16T00:00:00,Bulls,24,33,23,36,0,0,0,0,0,0,0,0,0,0,Heat,118.0,36,22,33,27,0,0,0,0,0,0,0,0,0,0,116.0
2023-12-16T00:00:00,Cavaliers,41,29,22,35,0,0,0,0,0,0,0,0,0,0,Hawks,119.0,28,24,29,38,0,0,0,0,0,0,0,0,0,0,127.0
2023-12-16T00:00:00,Nets,25,29,35,31,0,0,0,0,0,0,0,0,0,0,Warriors,124.0,32,38,25,29,0,0,0,0,0,0,0,0,0,0,120.0
2023-12-16T00:00:00,Knicks,33,33,32,24,0,0,0,0,0,0,0,0,0,0,Clippers,144.0,35,42,37,30,0,0,0,0,0,0,0,0,0,0,122.0
2023-12-15T00:00:00,Hawks,30,29,28,38,0,0,0,0,0,0,0,0,0,0,Raptors,104.0,24,25,29,26,0,0,0,0,0,0,0,0,0,0,125.0
2023-12-15T00:00:00,Wizards,30,39,39,29,0,0,0,0,0,0,0,0,0,0,Pacers,123.0,37,18,32,36,0,0,0,0,0,0,0,0,0,0,137.0
2023-12-15T00:00:00,Pistons,22,17,23,30,0,0,0,0,0,0,0,0,0,0,76ers,124.0,26,35,33,30,0,0,0,0,0,0,0,0,0,0,92.0
2023-12-15T00:00:00,Rockets,14,31,30,28,0,0,0,0,0,0,0,0,0,0,Grizzlies,96.0,29,26,19,22,0,0,0,0,0,0,0,0,0,0,103.0
2023-12-15T00:00:00,Knicks,31,32,34,42,0,0,0,0,0,0,0,0,0,0,Suns,122.0,30,38,31,23,0,0,0,0,0,0,0,0,0,0,139.0
2023-12-15T00:00:00,Celtics,30,34,37,27,0,0,0,0,0,0,0,0,0,0,Magic,111.0,24,27,27,33,0,0,0,0,0,0,0,0,0,0,128.0
2023-12-15T00:00:00,Lakers,22,40,25,28,0,0,0,0,0,0,0,0,0,0,Spurs,129.0,42,27,29,31,0,0,0,0,0,0,0,0,0,0,115.0
2023-12-15T00:00:00,Pelicans,21,29,26,36,0,0,0,0,0,0,0,0,0,0,Hornets,107.0,20,19,37,31,0,0,0,0,0,0,0,0,0,0,112.0
2023-12-14T00:00:00,Thunder,30,23,39,31,0,0,0,0,0,0,0,0,0,0,Kings,128.0,29,30,41,28,0,0,0,0,0,0,0,0,0,0,123.0
2023-12-14T00:00:00,Clippers,29,40,30,22,0,0,0,0,0,0,0,0,0,0,Warriors,113.0,28,28,37,20,0,0,0,0,0,0,0,0,0,0,121.0
2023-12-14T00:00:00,Timberwolves,26,33,28,32,0,0,0,0,0,0,0,0,0,0,Mavericks,101.0,30,30,22,19,0,0,0,0,0,0,0,0,0,0,119.0
2023-12-14T00:00:00,Cavaliers,24,30,33,20,0,0,0,0,0,0,0,0,0,0,Celtics,116.0,33,32,25,26,0,0,0,0,0,0,0,0,0,0,107.0
2023-12-14T00:00:00,Trail Blazers,30,24,22,38,0,0,0,0,0,0,0,0,0,0,Jazz,122.0,38,31,34,19,0,0,0,0,0,0,0,0,0,0,114.0
2023-12-14T00:00:00,Nets,22,17,28,34,0,0,0,0,0,0,0,0,0,0,Nuggets,124.0,29,23,38,34,0,0,0,0,0,0,0,0,0,0,101.0
2023-12-14T00:00:00,Heat,22,34,32,28,0,0,0,0,0,0,0,0,0,0,Bulls,124.0,36,24,33,31,0,0,0,0,0,0,0,0,0,0,116.0
2023-12-13T00:00:00,Raptors,31,33,39,32,0,0,0,0,0,0,0,0,0,0,Hawks,128.0,39,27,29,33,0,0,0,0,0,0,0,0,0,0,135.0
2023-12-13T00:00:00,Bucks,36,34,31,39,0,0,0,0,0,0,0,0,0,0,Pacers,126.0,33,30,31,32,0,0,0,0,0,0,0,0,0,0,140.0
2023-12-13T00:00:00,Jazz,22,30,37,28,0,0,0,0,0,0,0,0,0,0,Knicks,113.0,31,19,34,29,0,0,0,0,0,0,0,0,0,0,117.0
2023-12-13T00:00:00,Pelicans,28,47,35,32,0,0,0,0,0,0,0,0,0,0,Wizards,122.0,30,34,29,29,0,0,0,0,0,0,0,0,0,0,142.0
2023-12-13T00:00:00,Rockets,29,28,25,35,0,0,0,0,0,0,0,0,0,0,Grizzlies,104.0,23,20,38,23,0,0,0,0,0,0,0,0,0,0,117.0
2023-12-13T00:00:00,76ers,39,31,34,25,0,0,0,0,0,0,0,0,0,0,Pistons,111.0,26,30,24,31,0,0,0,0,0,0,0,0,0,0,129.0
2023-12-13T00:00:00,Heat,22,34,35,24,0,0,0,0,0,0,0,0,0,0,Hornets,104.0,23,22,25,34,0,0,0,0,0,0,0,0,0,0,115.0
2023-12-13T00:00:00,Lakers,34,29,29,30,0,0,0,0,0,0,0,0,0,0,Spurs,119.0,26,24,24,45,0,0,0,0,0,0,0,0,0,0,122.0
2023-12-13T00:00:00,Suns,22,34,32,24,0,0,0,0,0,0,0,0,0,0,Nets,116.0,31,33,22,30,0,0,0,0,0,0,0,0,0,0,112.0
2023-12-12T00:00:00,Mavericks,34,37,22,34,0,0,0,0,0,0,0,0,0,0,Lakers,125.0,26,35,34,30,0,0,0,0,0,0,0,0,0,0,127.0
2023-12-12T00:00:00,Celtics,21,38,35,26,0,0,0,0,0,0,0,0,0,0,Cavaliers,113.0,31,29,32,21,0,0,0,0,0,0,0,0,0,0,120.0
2023-12-12T00:00:00,Suns,25,28,35,31,0,0,0,0,0,0,0,0,0,0,Warriors,116.0,25,31,31,29,0,0,0,0,0,0,0,0,0,0,119.0
2023-12-12T00:00:00,Bulls,25,25,30,26,0,0,0,0,0,0,0,0,0,0,Nuggets,114.0,32,25,35,22,0,0,0,0,0,0,0,0,0,0,106.0
2023-12-12T00:00:00,Clippers,32,38,29,20,0,0,0,0,0,0,0,0,0,0,Kings,99.0,24,24,22,29,0,0,0,0,0,0,0,0,0,0,119.0
2023-12-11T00:00:00,Spurs,21,26,15,20,0,0,0,0,0,0,0,0,0,0,Rockets,93.0,19,32,18,24,0,0,0,0,0,0,0,0,0,0,82.0
2023-12-11T00:00:00,Clippers,43,23,39,27,0,0,0,0,0,0,0,0,0,0,Trail Blazers,127.0,32,33,34,28,0,0,0,0,0,0,0,0,0,0,132.0
2023-12-11T00:00:00,Bucks,37,37,17,27,15,0,0,0,0,0,0,0,0,0,Bulls,129.0,32,33,24,29,11,0,0,0,0,0,0,0,0,0,133.0
2023-12-11T00:00:00,Hornets,24,26,27,37,0,0,0,0,0,0,0,0,0,0,Heat,116.0,29,30,30,27,0,0,0,0,0,0,0,0,0,0,114.0
2023-12-11T00:00:00,Nets,18,30,37,33,0,0,0,0,0,0,0,0,0,0,Kings,131.0,26,28,44,33,0,0,0,0,0,0,0,0,0,0,118.0
2023-12-11T00:00:00,Knicks,35,31,32,38,0,0,0,0,0,0,0,0,0,0,Raptors,130.0,35,25,37,33,0,0,0,0,0,0,0,0,0,0,136.0
2023-12-11T00:00:00,Timberwolves,29,23,34,21,0,0,0,0,0,0,0,0,0,0,Pelicans,121.0,29,30,31,31,0,0,0,0,0,0,0,0,0,0,107.0
2023-12-11T00:00:00,Nuggets,28,37,38,26,0,0,0,0,0,0,0,0,0,0,Hawks,122.0,36,26,24,36,0,0,0,0,0,0,0,0,0,0,129.0
2023-12-11T00:00:00,Pistons,36,25,32,30,0,0,0,0,0,0,0,0,0,0,Pacers,131.0,33,33,32,33,0,0,0,0,0,0,0,0,0,0,123.0
2023-12-11T00:00:00,Wizards,27,19,21,34,0,0,0,0,0,0,0,0,0,0,76ers,146.0,43,32,37,34,0,0,0,0,0,0,0,0,0,0,101.0
2023-12-11T00:00:00,Grizzlies,24,27,28,34,0,0,0,0,0,0,0,0,0,0,Mavericks,120.0,29,38,29,24,0,0,0,0,0,0,0,0,0,0,113.0
2023-12-11T00:00:00,Magic,22,29,30,23,0,0,0,0,0,0,0,0,0,0,Cavaliers,94.0,29,25,15,25,0,0,0,0,0,0,0,0,0,0,104.0
2023-12-11T00:00:00,Jazz,20,32,23,45,0,0,0,0,0,0,0,0,0,0,Thunder,134.0,34,32,45,23,0,0,0,0,0,0,0,0,0,0,120.0
2023-12-08T00:00:00,Trail Blazers,22,38,30,22,0,0,0,0,0,0,0,0,0,0,Mavericks,125.0,37,34,26,28,0,0,0,0,0,0,0,0,0,0,112.0
2023-12-08T00:00:00,Bulls,24,28,35,34,0,0,0,0,0,0,0,0,0,0,Spurs,112.0,33,30,20,29,0,0,0,0,0,0,0,0,0,0,121.0
2023-12-08T00:00:00,Suns,26,33,12,35,0,0,0,0,0,0,0,0,0,0,Kings,114.0,24,26,33,31,0,0,0,0,0,0,0,0,0,0,106.0
2023-12-08T00:00:00,Hornets,35,31,24,29,0,0,0,0,0,0,0,0,0,0,Raptors,116.0,22,32,23,39,0,0,0,0,0,0,0,0,0,0,119.0
2023-12-08T00:00:00,Thunder,19,37,33,29,20,0,0,0,0,0,0,0,0,0,Warriors,136.0,28,34,22,34,18,0,0,0,0,0,0,0,0,0,138.0
2023-12-08T00:00:00,Clippers,32,27,29,29,0,0,0,0,0,0,0,0,0,0,Jazz,103.0,26,20,29,28,0,0,0,0,0,0,0,0,0,0,117.0
2023-12-08T00:00:00,Grizzlies,31,24,24,24,0,0,0,0,0,0,0,0,0,0,Timberwolves,127.0,33,27,38,29,0,0,0,0,0,0,0,0,0,0,103.0
2023-12-08T00:00:00,Magic,28,30,35,30,0,0,0,0,0,0,0,0,0,0,Pistons,91.0,23,21,24,23,0,0,0,0,0,0,0,0,0,0,123.0
2023-12-08T00:00:00,Rockets,27,25,40,22,0,0,0,0,0,0,0,0,0,0,Nuggets,106.0,22,26,26,32,0,0,0,0,0,0,0,0,0,0,114.0
2023-12-08T00:00:00,Celtics,33,41,35,24,0,0,0,0,0,0,0,0,0,0,Knicks,123.0,32,33,30,28,0,0,0,0,0,0,0,0,0,0,133.0
2023-12-08T00:00:00,Nets,26,24,40,34,0,0,0,0,0,0,0,0,0,0,Wizards,97.0,18,29,24,26,0,0,0,0,0,0,0,0,0,0,124.0
2023-12-08T00:00:00,Hawks,23,45,24,22,0,0,0,0,0,0,0,0,0,0,76ers,125.0,35,27,31,32,0,0,0,0,0,0,0,0,0,0,114.0
2023-12-08T00:00:00,Cavaliers,17,36,35,23,0,0,0,0,0,0,0,0,0,0,Heat,99.0,25,27,23,24,0,0,0,0,0,0,0,0,0,0,111.0
2023-12-07T00:00:00,Pelicans,30,24,17,18,0,0,0,0,0,0,0,0,0,0,Lakers,133.0,29,38,43,23,0,0,0,0,0,0,0,0,0,0,89.0
2023-12-07T00:00:00,Bucks,29,22,43,25,0,0,0,0,0,0,0,0,0,0,Pacers,128.0,27,36,28,37,0,0,0,0,0,0,0,0,0,0,119.0
2023-12-06T00:00:00,Cavaliers,37,28,34,22,0,0,0,0,0,0,0,0,0,0,Magic,111.0,20,32,34,25,0,0,0,0,0,0,0,0,0,0,121.0
2023-12-06T00:00:00,Pistons,29,27,28,18,0,0,0,0,0,0,0,0,0,0,Grizzlies,116.0,31,21,30,34,0,0,0,0,0,0,0,0,0,0,102.0
2023-12-06T00:00:00,Warriors,22,26,34,28,0,0,0,0,0,0,0,0,0,0,Trail Blazers,106.0,26,29,31,20,0,0,0,0,0,0,0,0,0,0,110.0
2023-12-06T00:00:00,Nuggets,36,21,25,20,0,0,0,0,0,0,0,0,0,0,Clippers,111.0,21,40,18,32,0,0,0,0,0,0,0,0,0,0,102.0
2023-12-06T00:00:00,Rockets,32,23,25,30,0,0,0,0,0,0,0,0,0,0,Thunder,101.0,22,28,24,27,0,0,0,0,0,0,0,0,0,0,110.0
2023-12-06T00:00:00,Bulls,27,21,35,28,0,0,0,0,0,0,0,0,0,0,Hornets,100.0,24,20,20,36,0,0,0,0,0,0,0,0,0,0,111.0
2023-12-06T00:00:00,Hawks,33,23,26,31,0,0,0,0,0,0,0,0,0,0,Nets,114.0,31,22,28,33,0,0,0,0,0,0,0,0,0,0,113.0
2023-12-06T00:00:00,Jazz,29,22,23,23,0,0,0,0,0,0,0,0,0,0,Mavericks,147.0,40,34,35,38,0,0,0,0,0,0,0,0,0,0,97.0
2023-12-06T00:00:00,Spurs,22,31,18,23,0,0,0,0,0,0,0,0,0,0,Timberwolves,102.0,25,21,25,31,0,0,0,0,0,0,0,0,0,0,94.0
2023-12-06T00:00:00,Raptors,32,34,18,19,0,0,0,0,0,0,0,0,0,0,Heat,112.0,37,27,23,25,0,0,0,0,0,0,0,0,0,0,103.0
2023-12-06T00:00:00,Wizards,29,33,33,31,0,0,0,0,0,0,0,0,0,0,76ers,131.0,25,35,39,32,0,0,0,0,0,0,0,0,0,0,126.0
2023-12-05T00:00:00,Suns,23,24,35,21,0,0,0,0,0,0,0,0,0,0,Lakers,106.0,33,26,24,23,0,0,0,0,0,0,0,0,0,0,103.0
2023-12-05T00:00:00,Bucks,37,38,37,34,0,0,0,0,0,0,0,0,0,0,Knicks,122.0,35,37,24,26,0,0,0,0,0,0,0,0,0,0,146.0
2023-12-04T00:00:00,Pacers,22,26,37,37,0,0,0,0,0,0,0,0,0,0,Celtics,112.0,24,31,23,34,0,0,0,0,0,0,0,0,0,0,122.0
2023-12-04T00:00:00,Pelicans,35,34,31,27,0,0,0,0,0,0,0,0,0,0,Kings,117.0,36,25,30,26,0,0,0,0,0,0,0,0,0,0,127.0
2023-12-02T00:00:00,Warriors,33,34,25,20,0,0,0,0,0,0,0,0,0,0,Clippers,113.0,22,26,37,28,0,0,0,0,0,0,0,0,0,0,112.0
2023-12-02T00:00:00,Suns,27,23,34,32,0,0,0,0,0,0,0,0,0,0,Grizzlies,109.0,27,24,21,37,0,0,0,0,0,0,0,0,0,0,116.0
2023-12-02T00:00:00,Rockets,30,14,28,25,0,0,0,0,0,0,0,0,0,0,Lakers,107.0,25,35,26,21,0,0,0,0,0,0,0,0,0,0,97.0
2023-12-02T00:00:00,Hornets,23,36,28,30,0,0,0,0,0,0,0,0,0,0,Timberwolves,123.0,30,32,26,35,0,0,0,0,0,0,0,0,0,0,117.0
2023-12-02T00:00:00,Hawks,37,26,35,23,0,0,0,0,0,0,0,0,0,0,Bucks,132.0,42,25,32,33,0,0,0,0,0,0,0,0,0,0,121.0
2023-12-02T00:00:00,Kings,25,39,24,35,0,0,0,0,0,0,0,0,0,0,Nuggets,117.0,30,20,28,39,0,0,0,0,0,0,0,0,0,0,123.0
2023-12-02T00:00:00,Cavaliers,25,29,31,25,0,0,0,0,0,0,0,0,0,0,Pistons,101.0,30,18,34,19,0,0,0,0,0,0,0,0,0,0,110.0
2023-12-02T00:00:00,Pacers,25,40,41,38,0,0,0,0,0,0,0,0,0,0,Heat,129.0,31,34,33,31,0,0,0,0,0,0,0,0,0,0,144.0
2023-12-02T00:00:00,Mavericks,27,29,28,36,0,0,0,0,0,0,0,0,0,0,Thunder,126.0,33,39,35,19,0,0,0,0,0,0,0,0,0,0,120.0
2023-12-02T00:00:00,Nets,43,30,25,31,0,0,0,0,0,0,0,0,0,0,Magic,101.0,22,29,34,16,0,0,0,0,0,0,0,0,0,0,129.0
2023-12-02T00:00:00,Jazz,21,35,28,22,12,0,0,0,0,0,0,0,0,0,Trail Blazers,113.0,24,20,30,32,7,0,0,0,0,0,0,0,0,0,118.0
2023-12-02T00:00:00,Pelicans,29,32,21,36,0,0,0,0,0,0,0,0,0,0,Bulls,124.0,32,21,36,35,0,0,0,0,0,0,0,0,0,0,118.0
2023-12-01T00:00:00,Suns,30,33,28,20,0,0,0,0,0,0,0,0,0,0,Nuggets,119.0,41,29,24,25,0,0,0,0,0,0,0,0,0,0,111.0
2023-12-01T00:00:00,Spurs,31,30,20,25,0,0,0,0,0,0,0,0,0,0,Pelicans,121.0,32,31,26,32,0,0,0,0,0,0,0,0,0,0,106.0
2023-12-01T00:00:00,Knicks,34,23,33,29,0,0,0,0,0,0,0,0,0,0,Raptors,106.0,26,31,20,29,0,0,0,0,0,0,0,0,0,0,119.0
2023-12-01T00:00:00,Mavericks,20,24,28,22,0,0,0,0,0,0,0,0,0,0,Grizzlies,108.0,28,31,20,29,0,0,0,0,0,0,0,0,0,0,94.0
2023-12-01T00:00:00,Magic,31,27,34,38,0,0,0,0,0,0,0,0,0,0,Wizards,125.0,36,25,28,36,0,0,0,0,0,0,0,0,0,0,130.0
2023-12-01T00:00:00,Celtics,44,25,26,30,0,0,0,0,0,0,0,0,0,0,76ers,119.0,36,36,25,22,0,0,0,0,0,0,0,0,0,0,125.0
2023-11-30T00:00:00,Warriors,31,30,25,34,0,0,0,0,0,0,0,0,0,0,Clippers,114.0,24,26,27,37,0,0,0,0,0,0,0,0,0,0,120.0
2023-11-30T00:00:00,Lakers,37,23,28,22,0,0,0,0,0,0,0,0,0,0,Thunder,133.0,30,42,36,25,0,0,0,0,0,0,0,0,0,0,110.0
2023-11-30T00:00:00,Pacers,38,35,27,32,0,0,0,0,0,0,0,0,0,0,Heat,142.0,33,31,33,45,0,0,0,0,0,0,0,0,0,0,132.0
2023-11-30T00:00:00,Hawks,26,36,39,36,0,0,0,0,0,0,0,0,0,0,Spurs,135.0,35,31,39,30,0,0,0,0,0,0,0,0,0,0,137.0
2023-11-30T00:00:00,Hornets,31,42,29,27,0,0,0,0,0,0,0,0,0,0,Nets,128.0,37,34,35,22,0,0,0,0,0,0,0,0,0,0,129.0
2023-11-30T00:00:00,Bulls,26,23,31,26,14,0,0,0,0,0,0,0,0,0,Bucks,113.0,24,31,25,26,7,0,0,0,0,0,0,0,0,0,120.0
2023-11-30T00:00:00,Pistons,17,37,33,25,0,0,0,0,0,0,0,0,0,0,Knicks,118.0,31,23,31,33,0,0,0,0,0,0,0,0,0,0,112.0
2023-11-30T00:00:00,Trail Blazers,22,18,34,29,0,0,0,0,0,0,0,0,0,0,Cavaliers,95.0,25,21,29,20,0,0,0,0,0,0,0,0,0,0,103.0
2023-11-30T00:00:00,Timberwolves,20,29,35,17,0,0,0,0,0,0,0,0,0,0,Jazz,90.0,23,24,19,24,0,0,0,0,0,0,0,0,0,0,101.0
2023-11-29T00:00:00,76ers,24,24,33,33,0,0,0,0,0,0,0,0,0,0,Pelicans,124.0,39,29,34,22,0,0,0,0,0,0,0,0,0,0,114.0
2023-11-29T00:00:00,Kings,27,23,31,36,0,0,0,0,0,0,0,0,0,0,Clippers,131.0,35,37,30,29,0,0,0,0,0,0,0,0,0,0,117.0
2023-11-29T00:00:00,Suns,20,33,27,25,0,0,0,0,0,0,0,0,0,0,Raptors,112.0,27,33,26,26,0,0,0,0,0,0,0,0,0,0,105.0
